epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0732,1.41739,3.47129,3.70556,1.59973,0,0.56572,0.19169,0.18262,0.11648,0.56224,0.19012,0.17911,0.11734,1.68601,3.35476,3.5999,1.9381,0,0.000221063,0.000221063,0.000221063
2,23.0109,1.42103,2.92804,2.86901,1.56663,0,0.53933,0.23587,0.23135,0.164,0.53561,0.22856,0.22808,0.16275,1.61969,3.21122,3.1305,1.76746,0,0.00043608,0.00043608,0.00043608
3,32.7644,1.40529,2.84743,2.66646,1.54942,0,0.51983,0.27303,0.24781,0.16724,0.53397,0.27761,0.24611,0.1678,1.62888,3.15587,2.92535,1.75642,0,0.00064376,0.00064376,0.00064376
4,42.4017,1.36384,2.78401,2.45857,1.51914,0,0.6283,0.27478,0.27141,0.19355,0.64778,0.27488,0.27118,0.18471,1.57629,3.13652,2.81664,1.68642,0,0.000633983,0.000633983,0.000633983
5,52.1529,1.33339,2.69519,2.36873,1.48894,0,0.55985,0.27864,0.28467,0.18772,0.56542,0.26992,0.27643,0.18502,1.62749,3.09674,2.79029,1.67882,0,0.000622978,0.000622978,0.000622978
6,61.7347,1.32437,2.66773,2.30712,1.48113,0,0.70121,0.26366,0.31793,0.21994,0.70349,0.26166,0.30723,0.20806,1.54661,3.00453,2.58286,1.67506,0,0.000611972,0.000611972,0.000611972
7,71.4889,1.29723,2.63934,2.21445,1.46484,0,0.56963,0.32294,0.33251,0.22065,0.54648,0.31174,0.31061,0.21006,1.50362,2.85456,2.4433,1.62105,0,0.000600967,0.000600967,0.000600967
8,81.2653,1.26214,2.6041,2.18222,1.44638,0,0.59868,0.30981,0.32855,0.23353,0.58383,0.31117,0.31318,0.22244,1.51271,2.88415,2.43137,1.62449,0,0.000589961,0.000589961,0.000589961
9,90.9099,1.23696,2.5267,2.05411,1.42199,0,0.6149,0.31799,0.33664,0.23731,0.63857,0.31884,0.33015,0.2224,1.45616,2.88771,2.37608,1.59252,0,0.000578956,0.000578956,0.000578956
10,100.54,1.25041,2.52972,2.01351,1.40409,0,0.54388,0.31033,0.34228,0.23144,0.53383,0.31386,0.34247,0.2248,1.51932,2.79686,2.32651,1.60093,0,0.00056795,0.00056795,0.00056795
11,110.194,1.19414,2.43069,1.9531,1.38077,0,0.55373,0.33391,0.34167,0.23986,0.5252,0.32354,0.32292,0.22324,1.45375,2.84385,2.33412,1.5828,0,0.000556945,0.000556945,0.000556945
12,119.821,1.17508,2.39822,1.90416,1.36507,0,0.40984,0.35164,0.34618,0.2386,0.41044,0.34896,0.33971,0.22902,1.44964,2.86528,2.29277,1.59366,0,0.00054594,0.00054594,0.00054594
13,129.392,1.17651,2.41747,1.86536,1.35824,0,0.49705,0.3757,0.39352,0.28095,0.4939,0.37153,0.38606,0.26422,1.45914,2.77494,2.19464,1.58534,0,0.000534934,0.000534934,0.000534934
14,139.017,1.17329,2.37248,1.82632,1.35183,0,0.47141,0.38914,0.36685,0.2575,0.43431,0.39282,0.35034,0.24006,1.47284,2.79767,2.24736,1.56209,0,0.000523928,0.000523928,0.000523928
15,148.644,1.18347,2.37657,1.8542,1.36104,0,0.49169,0.39292,0.377,0.26238,0.5064,0.38558,0.37346,0.25069,1.45452,2.75153,2.12399,1.55623,0,0.000512923,0.000512923,0.000512923
16,158.199,1.15163,2.31525,1.78054,1.34706,0,0.44399,0.42949,0.37391,0.25133,0.46239,0.3703,0.35368,0.23611,1.42653,2.71536,2.08794,1.5272,0,0.000501917,0.000501917,0.000501917
17,169.993,1.13496,2.32136,1.7444,1.32762,0,0.52579,0.37512,0.37603,0.26379,0.5166,0.36548,0.36394,0.24622,1.46329,2.73809,2.13082,1.56783,0,0.000490912,0.000490912,0.000490912
18,184.23,1.12831,2.29709,1.71345,1.32395,0,0.45981,0.38249,0.36906,0.2594,0.45673,0.37988,0.36366,0.24559,1.44813,2.71578,2.09654,1.55497,0,0.000479907,0.000479907,0.000479907
19,196.627,1.149,2.28107,1.72834,1.33339,0,0.4867,0.38007,0.37309,0.26839,0.48354,0.37577,0.36124,0.25458,1.42731,2.66377,2.01324,1.53541,0,0.000468901,0.000468901,0.000468901
20,208.843,1.08934,2.22268,1.64994,1.29592,0,0.49337,0.38374,0.40272,0.28996,0.46366,0.40704,0.40197,0.27865,1.42533,2.69073,1.98991,1.53659,0,0.000457895,0.000457895,0.000457895
21,221.156,1.07201,2.1807,1.58402,1.29399,0,0.42076,0.4292,0.38052,0.27578,0.43209,0.42003,0.38005,0.2586,1.42183,2.64882,1.99122,1.54785,0,0.00044689,0.00044689,0.00044689
22,235.016,1.09491,2.20039,1.61581,1.29911,0,0.47808,0.40421,0.38037,0.26445,0.50219,0.3866,0.36917,0.25393,1.41633,2.71655,2.15194,1.54048,0,0.000435884,0.000435884,0.000435884
23,246.73,1.07369,2.13998,1.56789,1.29368,0,0.47542,0.40302,0.39451,0.27522,0.45855,0.40612,0.37844,0.26128,1.40873,2.66106,1.96142,1.55503,0,0.000424879,0.000424879,0.000424879
24,260.728,1.06349,2.12482,1.54641,1.28185,0,0.54761,0.38493,0.39026,0.28531,0.53936,0.37766,0.37629,0.26269,1.38554,2.64362,1.98343,1.48685,0,0.000413873,0.000413873,0.000413873
25,274.156,1.0669,2.14555,1.546,1.2869,0,0.47507,0.39636,0.3872,0.27831,0.46388,0.38294,0.37295,0.26143,1.41616,2.75803,1.98333,1.5321,0,0.000402868,0.000402868,0.000402868
26,286.261,1.06223,2.1106,1.50539,1.27187,0,0.44931,0.41887,0.38572,0.27654,0.44588,0.41373,0.37631,0.26501,1.3841,2.65307,1.94328,1.51472,0,0.000391862,0.000391862,0.000391862
27,301.012,1.03181,2.07595,1.47513,1.24394,0,0.52468,0.39601,0.39929,0.2851,0.50871,0.38829,0.38644,0.26914,1.4226,2.74742,1.93898,1.53875,0,0.000380857,0.000380857,0.000380857
28,313.848,1.042,2.0742,1.48157,1.25302,0,0.44754,0.43162,0.40324,0.29376,0.44474,0.4271,0.39536,0.27995,1.41077,2.66631,1.91202,1.51234,0,0.000369851,0.000369851,0.000369851
29,327.325,1.01436,2.03375,1.44703,1.24884,0,0.55369,0.36689,0.41142,0.30164,0.54997,0.36399,0.40425,0.28478,1.39284,2.71892,1.87666,1.5073,0,0.000358846,0.000358846,0.000358846
30,339.882,1.01134,2.0311,1.41538,1.23594,0,0.47425,0.45964,0.41973,0.3025,0.46776,0.455,0.41145,0.2828,1.39377,2.67199,1.88101,1.51011,0,0.00034784,0.00034784,0.00034784
31,351.551,1.02226,2.02584,1.42322,1.24791,0,0.55775,0.40603,0.39452,0.28402,0.54243,0.38964,0.37755,0.26519,1.38904,2.71202,1.96713,1.51638,0,0.000336835,0.000336835,0.000336835
32,365.049,0.99227,2.00614,1.37033,1.2218,0,0.40685,0.43844,0.42343,0.30265,0.39661,0.42945,0.40781,0.28186,1.40103,2.69345,1.90503,1.50454,0,0.000325829,0.000325829,0.000325829
33,378.124,0.9848,1.95006,1.35298,1.22131,0,0.57629,0.38012,0.41211,0.29257,0.50846,0.41525,0.40841,0.28131,1.36653,2.62033,1.83598,1.49719,0,0.000314824,0.000314824,0.000314824
34,391.41,1.00229,1.95251,1.34954,1.22896,0,0.48995,0.40354,0.40788,0.29527,0.47676,0.39233,0.39289,0.27825,1.37735,2.62695,1.85122,1.51719,0,0.000303818,0.000303818,0.000303818
35,404.919,0.97781,1.94959,1.31273,1.21166,0,0.51185,0.43838,0.4156,0.29539,0.54833,0.37064,0.39662,0.27661,1.41481,2.60486,1.89735,1.53007,0,0.000292813,0.000292813,0.000292813
36,418.408,0.97976,1.95773,1.30487,1.21359,0,0.52424,0.40625,0.41103,0.29237,0.49598,0.3836,0.38716,0.2788,1.36463,2.58638,1.88353,1.48745,0,0.000281807,0.000281807,0.000281807
37,431.309,0.9494,1.90521,1.27625,1.19839,0,0.54547,0.41667,0.43219,0.30987,0.39421,0.50474,0.41027,0.29447,1.38035,2.62386,1.84842,1.50541,0,0.000270802,0.000270802,0.000270802
38,444.074,0.94821,1.9038,1.25741,1.19675,0,0.51786,0.42028,0.42119,0.31019,0.51614,0.41485,0.4116,0.29439,1.35545,2.59363,1.81919,1.47715,0,0.000259796,0.000259796,0.000259796
39,456.983,0.94283,1.86455,1.24852,1.1851,0,0.53559,0.4165,0.42747,0.31181,0.49202,0.4279,0.40633,0.28561,1.36796,2.61597,1.80358,1.49211,0,0.000248791,0.000248791,0.000248791
40,470.654,0.95399,1.89763,1.2495,1.19297,0,0.41997,0.46976,0.42632,0.30903,0.40639,0.4569,0.41715,0.29139,1.37633,2.62069,1.87392,1.49328,0,0.000237785,0.000237785,0.000237785
41,483.728,0.93368,1.83852,1.21347,1.17907,0,0.55577,0.38609,0.40294,0.29285,0.52663,0.36695,0.38415,0.27238,1.38864,2.69179,1.87322,1.51099,0,0.00022678,0.00022678,0.00022678
42,496.267,0.91717,1.85217,1.2017,1.16774,0,0.43878,0.44414,0.4116,0.29755,0.42472,0.4288,0.39774,0.28098,1.35992,2.61975,1.84517,1.48062,0,0.000215774,0.000215774,0.000215774
43,505.766,0.91814,1.80652,1.18828,1.16947,0,0.43899,0.43055,0.41586,0.30268,0.43016,0.42718,0.4088,0.28752,1.35912,2.62188,1.79301,1.50304,0,0.000204769,0.000204769,0.000204769
