epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,62.558,1.07337,2.30685,1.88245,1.36093,0,0.50596,0.44632,0.45877,0.31423,0.48849,0.43654,0.44107,0.2928,1.3892,2.67584,2.09621,1.73006,0,9.767e-05,9.767e-05,9.767e-05
2,121.437,1.07674,2.25109,1.69092,1.35407,0,0.50048,0.44357,0.44841,0.29974,0.49278,0.4238,0.43435,0.2767,1.41605,2.69158,2.14553,1.75408,0,0.000191796,0.000191796,0.000191796
3,179.106,1.10501,2.30527,1.72515,1.3707,0,0.47212,0.44138,0.44027,0.29335,0.4608,0.4014,0.40769,0.25799,1.44383,2.76749,2.09852,1.74819,0,0.000282041,0.000282041,0.000282041
4,236.213,1.13457,2.32715,1.74823,1.38259,0,0.46212,0.42205,0.41826,0.27016,0.44662,0.40592,0.39655,0.24642,1.45796,2.71146,2.12028,1.76683,0,0.000276536,0.000276536,0.000276536
5,292.328,1.12142,2.31935,1.72328,1.3738,0,0.41197,0.40439,0.39451,0.2618,0.38904,0.3867,0.36772,0.23308,1.4658,2.72094,2.26921,1.76946,0,0.000270715,0.000270715,0.000270715
6,351.082,1.12883,2.31058,1.70863,1.37563,0,0.52624,0.43519,0.46108,0.30097,0.51615,0.42072,0.43915,0.27313,1.40438,2.6761,2.04066,1.72479,0,0.000264894,0.000264894,0.000264894
7,409.318,1.11153,2.27884,1.66861,1.36325,0,0.49143,0.37946,0.39273,0.2621,0.48834,0.37084,0.38063,0.23528,1.44802,2.7068,2.16808,1.76231,0,0.000259073,0.000259073,0.000259073
8,466.821,1.11289,2.26866,1.65044,1.36582,0,0.52445,0.40852,0.44045,0.29822,0.49707,0.3987,0.4144,0.26589,1.43904,2.68637,2.08146,1.75175,0,0.000253252,0.000253252,0.000253252
9,525.529,1.10289,2.25097,1.63502,1.35446,0,0.53609,0.43703,0.45067,0.29886,0.52584,0.41405,0.43071,0.26978,1.40945,2.67051,2.03862,1.7094,0,0.00024743,0.00024743,0.00024743
10,583.841,1.09235,2.23806,1.61235,1.34842,0,0.52687,0.42235,0.45268,0.30514,0.50479,0.40615,0.42823,0.26993,1.41713,2.65828,2.06621,1.73461,0,0.000241609,0.000241609,0.000241609
11,643.272,1.08892,2.23099,1.59457,1.34654,0,0.51618,0.44132,0.46175,0.3039,0.51743,0.42211,0.44261,0.2797,1.41212,2.64234,1.97785,1.7264,0,0.000235788,0.000235788,0.000235788
12,701.28,1.08574,2.21908,1.563,1.33897,0,0.56717,0.39206,0.44704,0.296,0.55944,0.37182,0.41991,0.26524,1.42756,2.65684,2.02685,1.72785,0,0.000229967,0.000229967,0.000229967
13,756.841,1.0945,2.22039,1.56707,1.34751,0,0.51404,0.45178,0.47178,0.31419,0.49902,0.43555,0.44362,0.27875,1.38974,2.6523,1.98962,1.69976,0,0.000224146,0.000224146,0.000224146
14,826.108,1.06928,2.18531,1.52766,1.32763,0,0.55951,0.44682,0.47211,0.31158,0.49798,0.45298,0.44413,0.28047,1.43208,2.63953,1.96479,1.73088,0,0.000218324,0.000218324,0.000218324
15,883.484,1.06864,2.17741,1.51168,1.32811,0,0.51859,0.4731,0.48078,0.31801,0.50152,0.4444,0.44911,0.28022,1.39827,2.62369,1.87999,1.70602,0,0.000212503,0.000212503,0.000212503
16,940.826,1.05169,2.16052,1.50604,1.32085,0,0.55805,0.45916,0.48614,0.32312,0.53868,0.45489,0.46278,0.29679,1.37803,2.58565,1.90739,1.68525,0,0.000206682,0.000206682,0.000206682
17,996.344,1.05608,2.16453,1.49008,1.31718,0,0.52266,0.46574,0.47781,0.31737,0.48992,0.46346,0.46012,0.29148,1.3917,2.58225,1.93731,1.68783,0,0.000200861,0.000200861,0.000200861
18,1054.35,1.06618,2.15621,1.47783,1.31968,0,0.52527,0.46948,0.48221,0.32674,0.50812,0.45738,0.46254,0.30114,1.37411,2.54644,1.89738,1.69495,0,0.00019504,0.00019504,0.00019504
19,1108.81,1.04384,2.12818,1.45687,1.30785,0,0.55723,0.45087,0.49425,0.3359,0.56022,0.42744,0.46987,0.3038,1.37222,2.62659,1.90757,1.68658,0,0.000189218,0.000189218,0.000189218
20,1164.36,1.03975,2.12649,1.43869,1.30486,0,0.54686,0.42113,0.45674,0.30687,0.47159,0.45417,0.43996,0.28269,1.42085,2.60017,2.03047,1.71352,0,0.000183397,0.000183397,0.000183397
21,1221.61,1.03631,2.11157,1.42324,1.30077,0,0.57836,0.46706,0.50618,0.33693,0.56619,0.4552,0.48791,0.31516,1.36153,2.55188,1.85222,1.6842,0,0.000177576,0.000177576,0.000177576
22,1277.73,1.03216,2.10769,1.41321,1.29731,0,0.53241,0.47136,0.497,0.33785,0.49977,0.47243,0.47519,0.30746,1.36226,2.54974,1.78406,1.67562,0,0.000171755,0.000171755,0.000171755
